source,country,country_name,salary_yearly,currency,years_experience,experience_level,languages_worked,developer_type,education_level,company_size,collected_at
stackoverflow,DE,Germany,,EUR,4,Mid-level,Docker;npm,"Developer, front-end;Developer, back-end","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",2 to 9 employees,2025-07-02T09:58:35.811551
stackoverflow,DE,Germany,,EUR,22,Junior,Ansible;Docker;Kubernetes,"Developer, back-end;Developer, desktop or enterprise applications;Data or business analyst","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",500 to 999 employees,2025-07-02T09:58:35.811551
stackoverflow,DE,Germany,127972.0,EUR,25,Junior,Ansible;Docker;Kubernetes,"Data scientist or machine learning specialist;Developer, full-stack;Educator","Other doctoral degree (Ph.D., Ed.D., etc.)",20 to 99 employees,2025-07-02T09:58:35.811551
stackoverflow,DE,Germany,,EUR,nan,Unknown,,,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",,2025-07-02T09:58:35.811551
stackoverflow,DE,Germany,,EUR,4,Mid-level,,Other (please specify):,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",10 to 19 employees,2025-07-02T09:58:35.812544
stackoverflow,DE,Germany,,EUR,5,Mid-level,Docker;Kubernetes,"Developer, full-stack;Academic researcher;DevOps specialist;Cloud infrastructure engineer;Scientist","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",20 to 99 employees,2025-07-02T09:58:35.812544
stackoverflow,DE,Germany,,EUR,nan,Unknown,,,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",,2025-07-02T09:58:35.812544
stackoverflow,DE,Germany,63986.0,EUR,6,Mid-level,,"Developer, front-end;Developer, full-stack;Developer, back-end;Developer, desktop or enterprise applications;Educator;Developer, embedded applications or devices","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",100 to 499 employees,2025-07-02T09:58:35.813547
stackoverflow,DE,Germany,,EUR,2,Junior,,"Developer, full-stack","Professional degree (JD, MD, etc.)",20 to 99 employees,2025-07-02T09:58:35.813547
stackoverflow,DE,Germany,,EUR,nan,Unknown,Homebrew,Other (please specify):,Some college/university study without earning a degree,,2025-07-02T09:58:35.813547
