source,country,country_name,salary_yearly,currency,years_experience,experience_level,languages_worked,developer_type,education_level,company_size,collected_at
stackoverflow,FR,France,,EUR,nan,Unknown,,Data scientist or machine learning specialist,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",,2025-07-02T12:48:18.593654
stackoverflow,FR,France,53.0,EUR,16,Junior,npm;Yarn,"Developer, full-stack","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",100 to 499 employees,2025-07-02T12:48:18.593692
stackoverflow,FR,France,53322.0,EUR,7,Mid-level,Docker;npm,"Developer, front-end;Developer, full-stack;Developer, back-end;Developer, mobile;Project manager;System administrator","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",100 to 499 employees,2025-07-02T12:48:18.593807
stackoverflow,FR,France,511884.0,EUR,8,Mid-level,Docker;Kubernetes,"Developer, full-stack","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",2 to 9 employees,2025-07-02T12:48:18.594580
stackoverflow,FR,France,47990.0,EUR,5,Mid-level,Docker;Yarn,"Developer, back-end","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",20 to 99 employees,2025-07-02T12:48:18.594971
stackoverflow,FR,France,,EUR,nan,Unknown,,,Some college/university study without earning a degree,,2025-07-02T12:48:18.595170
stackoverflow,FR,France,51189.0,EUR,11,Junior,,"Developer, full-stack","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",100 to 499 employees,2025-07-02T12:48:18.595330
stackoverflow,FR,France,58654.0,EUR,20,Junior,Docker;npm,"Developer, back-end","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",500 to 999 employees,2025-07-02T12:48:18.595369
stackoverflow,FR,France,,EUR,nan,Unknown,,,"Associate degree (A.A., A.S., etc.)",,2025-07-02T12:48:18.595406
stackoverflow,FR,France,,EUR,nan,Unknown,Ansible;Docker;Homebrew;Kubernetes;npm;Yarn,DevOps specialist,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",,2025-07-02T12:48:18.595758
stackoverflow,FR,France,51722.0,EUR,4,Mid-level,Kubernetes,"Developer, back-end;Academic researcher;Scientist","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",20 to 99 employees,2025-07-02T12:48:18.596221
stackoverflow,FR,France,,EUR,nan,Unknown,Ansible;Docker,"Developer, full-stack;Student","Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",,2025-07-02T12:48:18.596975
stackoverflow,FR,France,74651.0,EUR,15,Junior,npm;Puppet,"Developer, back-end","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",500 to 999 employees,2025-07-02T12:48:18.597192
stackoverflow,FR,France,106644.0,EUR,21,Junior,npm,"Developer, front-end;Developer, full-stack;Developer, back-end;Developer, desktop or enterprise applications;Developer, embedded applications or devices","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Just me - I am a freelancer, sole proprietor, etc.",2025-07-02T12:48:18.598066
stackoverflow,FR,France,,EUR,8,Mid-level,npm,"Developer, desktop or enterprise applications;Other (please specify):;Project manager;Data or business analyst;Product manager","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",,2025-07-02T12:48:18.598153
stackoverflow,FR,France,74651.0,EUR,6,Mid-level,Docker,"Developer, embedded applications or devices;Scientist","Other doctoral degree (Ph.D., Ed.D., etc.)","10,000 or more employees",2025-07-02T12:48:18.598284
stackoverflow,FR,France,,EUR,10,Junior,Homebrew,"Developer, mobile","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",2 to 9 employees,2025-07-02T12:48:18.598406
stackoverflow,FR,France,,EUR,nan,Unknown,,"Engineer, data;Student;Academic researcher","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",,2025-07-02T12:48:18.598657
stackoverflow,FR,France,53322.0,EUR,10,Junior,npm;Yarn,"Developer, front-end;Developer, full-stack;Developer, back-end","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",20 to 99 employees,2025-07-02T12:48:18.598697
stackoverflow,FR,France,,EUR,nan,Unknown,Docker;npm;Yarn,"Developer, full-stack;Student","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",,2025-07-02T12:48:18.598979
stackoverflow,FR,France,57588.0,EUR,35,Junior,Ansible;Chef;Docker;Homebrew;npm;Puppet;Yarn,"Developer, front-end;Developer, full-stack;Developer, back-end;Engineering manager;Database administrator;DevOps specialist;System administrator","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",10 to 19 employees,2025-07-02T12:48:18.599059
stackoverflow,FR,France,76783.0,EUR,32,Junior,Docker;npm,"Developer, back-end;Developer, desktop or enterprise applications","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",100 to 499 employees,2025-07-02T12:48:18.599099
stackoverflow,FR,France,,EUR,Less than 1 year,Junior,npm,,Something else,I don’t know,2025-07-02T12:48:18.599143
stackoverflow,FR,France,,EUR,20,Junior,Docker;npm,"Developer, front-end;Designer","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",,2025-07-02T12:48:18.599264
stackoverflow,FR,France,42657.0,EUR,2,Junior,Docker;npm;Unity 3D,"Developer, QA or test","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",100 to 499 employees,2025-07-02T12:48:18.599304
