source,country,country_name,salary_yearly,currency,years_experience,experience_level,languages_worked,developer_type,education_level,company_size,collected_at
stackoverflow,FR,France,74651.0,EUR,14,Junior,Docker;Kubernetes;npm,"Developer, back-end;Designer","Professional degree (JD, MD, etc.)",I don’t know,2025-07-02T09:58:35.805542
stackoverflow,FR,France,,EUR,nan,Unknown,Unity 3D,,"Associate degree (A.A., A.S., etc.)",,2025-07-02T09:58:35.805542
stackoverflow,FR,France,87448.0,EUR,10,Junior,Docker;npm;Terraform,"Developer, back-end;Engineering manager;Database administrator;DevOps specialist;Cloud infrastructure engineer","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",20 to 99 employees,2025-07-02T09:58:35.805542
stackoverflow,FR,France,63986.0,EUR,5,Mid-level,,"Engineer, data","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",20 to 99 employees,2025-07-02T09:58:35.805542
stackoverflow,FR,France,63986.0,EUR,19,Junior,Docker;Terraform,"Developer, front-end;Developer, full-stack;Developer, back-end;Developer, desktop or enterprise applications;Cloud infrastructure engineer","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",100 to 499 employees,2025-07-02T09:58:35.805542
stackoverflow,FR,France,,EUR,5,Mid-level,npm;Terraform,"Developer, full-stack","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",500 to 999 employees,2025-07-02T09:58:35.806547
stackoverflow,FR,France,52789.0,EUR,4,Mid-level,Docker,"Engineer, data","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",100 to 499 employees,2025-07-02T09:58:35.807541
stackoverflow,FR,France,85315.0,EUR,15,Junior,Ansible;Docker,"Engineer, site reliability;Developer, back-end;Engineering manager;Database administrator;DevOps specialist;Project manager;Cloud infrastructure engineer;System administrator;Security professional","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",100 to 499 employees,2025-07-02T09:58:35.807541
stackoverflow,FR,France,58654.0,EUR,3,Junior,Kubernetes,"Data scientist or machine learning specialist;Engineer, data;Database administrator;Data or business analyst","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",500 to 999 employees,2025-07-02T09:58:35.808540
stackoverflow,FR,France,,EUR,9,Mid-level,,"Developer, back-end;Developer, desktop or enterprise applications;Project manager","Other doctoral degree (Ph.D., Ed.D., etc.)",2 to 9 employees,2025-07-02T09:58:35.808540
stackoverflow,FR,France,34126.0,EUR,5,Mid-level,,Data scientist or machine learning specialist;Data or business analyst,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","1,000 to 4,999 employees",2025-07-02T09:58:35.809548
stackoverflow,FR,France,,EUR,nan,Unknown,,Educator,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",,2025-07-02T09:58:35.809548
stackoverflow,FR,France,,EUR,nan,Unknown,,Engineering manager,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",,2025-07-02T09:58:35.809548
stackoverflow,FR,France,,EUR,nan,Unknown,npm;Yarn,,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",,2025-07-02T09:58:35.810546
stackoverflow,FR,France,44796.0,EUR,20,Junior,,"Developer, full-stack;Developer, desktop or enterprise applications;Project manager","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Just me - I am a freelancer, sole proprietor, etc.",2025-07-02T09:58:35.810546
stackoverflow,FR,France,,EUR,3,Junior,Docker,"Developer, back-end;Designer","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","10,000 or more employees",2025-07-02T09:58:35.810546
stackoverflow,FR,France,44790.0,EUR,5,Mid-level,Docker,"Developer, back-end;Developer, desktop or enterprise applications","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","10,000 or more employees",2025-07-02T09:58:35.810546
stackoverflow,FR,France,52255.0,EUR,5,Mid-level,Ansible,Data or business analyst,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",500 to 999 employees,2025-07-02T09:58:35.811551
stackoverflow,FR,France,,EUR,nan,Unknown,Docker;npm;Unity 3D;Unreal Engine,,"Associate degree (A.A., A.S., etc.)",,2025-07-02T09:58:35.811551
stackoverflow,FR,France,,EUR,10,Junior,,"Developer, front-end;Engineer, data;Engineer, site reliability;Developer, full-stack;Developer, back-end;Developer, QA or test;Engineering manager;Database administrator;DevOps specialist;Developer, game or graphics;Project manager;Designer;Product manager;System administrator;Marketing or sales professional",Some college/university study without earning a degree,"Just me - I am a freelancer, sole proprietor, etc.",2025-07-02T09:58:35.811551
stackoverflow,FR,France,36259.0,EUR,5,Mid-level,,"Developer, back-end","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","1,000 to 4,999 employees",2025-07-02T09:58:35.812544
stackoverflow,FR,France,,EUR,nan,Unknown,Docker;npm;Unity 3D,"Developer, front-end;Developer, full-stack;Developer, back-end;Student;Database administrator;System administrator","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",,2025-07-02T09:58:35.813547
stackoverflow,FR,France,106644.0,EUR,9,Mid-level,npm;Yarn,"Developer, front-end;Developer, full-stack","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",500 to 999 employees,2025-07-02T09:58:35.813547
stackoverflow,FR,France,,EUR,6,Mid-level,Docker;npm;Yarn,"Developer, full-stack;Developer, game or graphics","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Just me - I am a freelancer, sole proprietor, etc.",2025-07-02T09:58:35.813547
stackoverflow,FR,France,,EUR,nan,Unknown,npm;Yarn,,Some college/university study without earning a degree,,2025-07-02T09:58:35.813547
stackoverflow,FR,France,,EUR,nan,Unknown,Docker;npm;Unity 3D,,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",,2025-07-02T09:58:35.813547
stackoverflow,FR,France,26661.0,EUR,1,Junior,,"Developer, front-end;Developer, full-stack;Developer, back-end;Student;Educator;Academic researcher;Data or business analyst;Designer","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",10 to 19 employees,2025-07-02T09:58:35.814544
stackoverflow,FR,France,72518.0,EUR,5,Mid-level,npm;Yarn,"Developer, full-stack",Some college/university study without earning a degree,20 to 99 employees,2025-07-02T09:58:35.814544
stackoverflow,FR,France,47990.0,EUR,6,Mid-level,Docker;npm,"Developer, back-end;Educator","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",20 to 99 employees,2025-07-02T09:58:35.814544
stackoverflow,FR,France,69318.0,EUR,14,Junior,,"Developer, front-end;Developer, full-stack;Developer, back-end;DevOps specialist","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",500 to 999 employees,2025-07-02T09:58:35.814544
stackoverflow,FR,France,,EUR,nan,Unknown,Docker;npm;Puppet;Unity 3D;Unreal Engine;Yarn,,,,2025-07-02T09:58:35.814544
stackoverflow,FR,France,49908.0,EUR,7,Mid-level,Docker,"Developer, full-stack;Developer, back-end;Developer, desktop or enterprise applications","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",20 to 99 employees,2025-07-02T09:58:35.816549
stackoverflow,FR,France,,EUR,3,Junior,npm;Unity 3D;Unreal Engine,"Developer, full-stack","Other doctoral degree (Ph.D., Ed.D., etc.)",10 to 19 employees,2025-07-02T09:58:35.816549
stackoverflow,FR,France,,EUR,Less than 1 year,Junior,,Other (please specify):,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",100 to 499 employees,2025-07-02T09:58:35.816549
stackoverflow,FR,France,,EUR,nan,Unknown,,,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",,2025-07-02T09:58:35.817544
stackoverflow,FR,France,639864.0,EUR,2,Junior,Docker;Homebrew;Yarn,"Engineer, data;Developer, back-end;Data or business analyst;Blockchain","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",10 to 19 employees,2025-07-02T09:58:35.817544
stackoverflow,FR,France,38392.0,EUR,4,Mid-level,Docker;npm;Terraform;Yarn,"Developer, front-end;Developer, full-stack;Developer, back-end;Engineering manager;Database administrator;DevOps specialist;Cloud infrastructure engineer;Senior Executive (C-Suite, VP, etc.)","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",10 to 19 employees,2025-07-02T09:58:35.817544
stackoverflow,FR,France,49056.0,EUR,1,Junior,Docker;Homebrew,"Developer, desktop or enterprise applications;Developer, embedded applications or devices","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",20 to 99 employees,2025-07-02T09:58:35.817544
stackoverflow,FR,France,,EUR,18,Junior,Docker,"Developer, full-stack;Developer, desktop or enterprise applications;Project manager","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",20 to 99 employees,2025-07-02T09:58:35.818546
stackoverflow,FR,France,30713.0,EUR,2,Junior,Docker;npm;Yarn,"Developer, full-stack","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",10 to 19 employees,2025-07-02T09:58:35.818546
stackoverflow,FR,France,,EUR,nan,Unknown,,,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",,2025-07-02T09:58:35.819542
stackoverflow,FR,France,,EUR,nan,Unknown,Docker,,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",,2025-07-02T09:58:35.819542
stackoverflow,FR,France,33603.0,EUR,18,Junior,Docker;Kubernetes;npm,"Developer, full-stack;Database administrator;DevOps specialist;System administrator","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","10,000 or more employees",2025-07-02T09:58:35.819542
stackoverflow,FR,France,,EUR,nan,Unknown,Yarn,,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",,2025-07-02T09:58:35.819542
stackoverflow,FR,France,92136.0,EUR,18,Junior,Ansible;npm;Yarn,"Developer, back-end","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",100 to 499 employees,2025-07-02T09:58:35.820541
stackoverflow,FR,France,,EUR,10,Junior,Docker;Kubernetes;npm,"Developer, full-stack;Engineering manager","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","10,000 or more employees",2025-07-02T09:58:35.820541
stackoverflow,FR,France,191959.0,EUR,30,Junior,Docker,"Developer, front-end;Developer, full-stack;Developer, back-end",,"Just me - I am a freelancer, sole proprietor, etc.",2025-07-02T09:58:35.821540
stackoverflow,FR,France,159950.0,EUR,18,Junior,Docker;npm;Yarn,"Data scientist or machine learning specialist;Engineer, data;Developer, full-stack;Developer, desktop or enterprise applications;Developer, mobile;Developer, embedded applications or devices;Designer;Product manager","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",20 to 99 employees,2025-07-02T09:58:35.821540
stackoverflow,FR,France,42231.0,EUR,6,Mid-level,Ansible;Docker;Terraform;Unity 3D;Yarn,"Developer, full-stack;Developer, game or graphics","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",20 to 99 employees,2025-07-02T09:58:35.821540
stackoverflow,FR,France,38388.0,EUR,2,Junior,Docker,"Developer, embedded applications or devices","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",2 to 9 employees,2025-07-02T09:58:35.822541
stackoverflow,FR,France,66119.0,EUR,4,Mid-level,Docker,"Developer, back-end","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",100 to 499 employees,2025-07-02T09:58:35.822541
stackoverflow,FR,France,,EUR,25,Junior,,"Developer, desktop or enterprise applications","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Just me - I am a freelancer, sole proprietor, etc.",2025-07-02T09:58:35.822541
stackoverflow,FR,France,,EUR,nan,Unknown,Docker;npm,"Developer, front-end;Developer, full-stack;Developer, back-end;Student;Designer;Blockchain","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",,2025-07-02T09:58:35.822541
stackoverflow,FR,France,,EUR,nan,Unknown,Docker;npm;Unity 3D;Unreal Engine,"Developer, desktop or enterprise applications;Student;DevOps specialist;Data or business analyst","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",,2025-07-02T09:58:35.823546
stackoverflow,FR,France,38388.0,EUR,4,Mid-level,Ansible;Docker;npm;Yarn,"Developer, back-end","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",10 to 19 employees,2025-07-02T09:58:35.824543
stackoverflow,FR,France,,EUR,nan,Unknown,Kubernetes;npm;Yarn,,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",,2025-07-02T09:58:35.824543
stackoverflow,FR,France,,EUR,nan,Unknown,,,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",,2025-07-02T09:58:35.824543
stackoverflow,FR,France,49056.0,EUR,3,Junior,Ansible;Docker;npm;Yarn,"Developer, front-end;Developer, full-stack;Developer, back-end","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",20 to 99 employees,2025-07-02T09:58:35.824543
stackoverflow,FR,France,76783.0,EUR,18,Junior,npm,"Developer, back-end;Developer, desktop or enterprise applications","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","1,000 to 4,999 employees",2025-07-02T09:58:35.824543
