id,source,name,full_name,description,language,stars_count,forks_count,watchers_count,issues_count,created_at,updated_at,owner_login,owner_type,owner_location,owner_country,topics,license,url,clone_url,collected_at
1000235209,github,workout-cool,Snouzy/workout-cool,"🏋 Modern open-source fitness coaching platform. Create workout plans, track progress, and access a comprehensive exercise database.",TypeScript,3811,215,3811,31,2025-06-11,2025-07-01,Snouzy,User,"All around the world, France based",FR,"coach, exercise, feature-sliced-design, fitness, gym, health, nextjs, open-source, postgresql, prisma, radix-ui, react, shadcn-ui, tailwindcss, training, typescript, webapp, workout",MIT,https://github.com/Snouzy/workout-cool,https://github.com/Snouzy/workout-cool.git,2025-07-01T11:54:11.269368
1000814478,github,agent-rules,steipete/agent-rules,Rules and Knowledge to work better with agents such as Claude Code or Cursor,Shell,1929,116,1929,4,2025-06-12,2025-07-01,steipete,User,Vienna & London,GB,"agent, claudecode, cursor, llms, rules",MIT,https://github.com/steipete/agent-rules,https://github.com/steipete/agent-rules.git,2025-07-01T11:54:16.143267
1000126125,github,liquid-glass,shuding/liquid-glass,,JavaScript,592,25,592,4,2025-06-11,2025-06-30,shuding,User,Berlin,DE,,MIT,https://github.com/shuding/liquid-glass,https://github.com/shuding/liquid-glass.git,2025-07-01T11:54:32.422624
996722787,github,vui,fluxions-ai/vui,,Python,592,56,592,5,2025-06-05,2025-06-30,fluxions-ai,Organization,United Kingdom,GB,,MIT,https://github.com/fluxions-ai/vui,https://github.com/fluxions-ai/vui.git,2025-07-01T11:54:32.942991
1003043071,github,code-graph-rag,vitali87/code-graph-rag,Better than Claude Code or Gemini CLI especially for Monorepos,Python,478,49,478,4,2025-06-16,2025-07-01,vitali87,User,London,GB,,MIT,https://github.com/vitali87/code-graph-rag,https://github.com/vitali87/code-graph-rag.git,2025-07-01T11:54:41.041756
1001457531,github,CVE-2025-33073,mverschu/CVE-2025-33073,PoC Exploit for the NTLM reflection SMB flaw.,Python,399,81,399,1,2025-06-13,2025-07-01,mverschu,User,Netherlands,NL,,,https://github.com/mverschu/CVE-2025-33073,https://github.com/mverschu/CVE-2025-33073.git,2025-07-01T11:54:49.056740
1004513211,github,snap-ql,NickTikhonov/snap-ql,AI-powered Postgres Client,TypeScript,380,21,380,13,2025-06-18,2025-07-01,NickTikhonov,User,"London, United Kingdom",GB,,MIT,https://github.com/NickTikhonov/snap-ql,https://github.com/NickTikhonov/snap-ql.git,2025-07-01T11:54:52.092690
1003205027,github,delayed-streams-modeling,kyutai-labs/delayed-streams-modeling,"Delayed Streams Modeling (DSM) is a flexible formulation for streaming, multimodal sequence-to-sequence learning.",Python,369,28,369,7,2025-06-16,2025-07-01,kyutai-labs,Organization,France,FR,,Apache-2.0,https://github.com/kyutai-labs/delayed-streams-modeling,https://github.com/kyutai-labs/delayed-streams-modeling.git,2025-07-01T11:54:53.075077
