id,source,name,full_name,description,language,stars_count,forks_count,watchers_count,issues_count,created_at,updated_at,owner_login,owner_type,owner_location,owner_country,topics,license,url,clone_url,collected_at
1000235209,github,workout-cool,Snouzy/workout-cool,"🏋 Modern open-source fitness coaching platform. Create workout plans, track progress, and access a comprehensive exercise database.",TypeScript,3703,206,3703,31,2025-06-11,2025-06-30,Snouzy,User,"All around the world, France based",FR,"coach, exercise, feature-sliced-design, fitness, gym, health, nextjs, open-source, postgresql, prisma, radix-ui, react, shadcn-ui, tailwindcss, training, typescript, webapp, workout",MIT,https://github.com/Snouzy/workout-cool,https://github.com/Snouzy/workout-cool.git,2025-06-30T15:45:37.733524
1000814478,github,agent-rules,steipete/agent-rules,Rules and Knowledge to work better with agents such as Claude Code or Cursor,Shell,1889,114,1889,4,2025-06-12,2025-06-30,steipete,User,Vienna & London,GB,"agent, claudecode, cursor, llms, rules",MIT,https://github.com/steipete/agent-rules,https://github.com/steipete/agent-rules.git,2025-06-30T15:45:41.951635
996722787,github,vui,fluxions-ai/vui,,Python,591,56,591,5,2025-06-05,2025-06-30,fluxions-ai,Organization,United Kingdom,GB,,MIT,https://github.com/fluxions-ai/vui,https://github.com/fluxions-ai/vui.git,2025-06-30T15:45:54.519669
1000126125,github,liquid-glass,shuding/liquid-glass,,JavaScript,590,24,590,4,2025-06-11,2025-06-30,shuding,User,Berlin,DE,,MIT,https://github.com/shuding/liquid-glass,https://github.com/shuding/liquid-glass.git,2025-06-30T15:45:55.316227
1003043071,github,code-graph-rag,vitali87/code-graph-rag,Search Monorepos and get relevant answers,Python,471,48,471,4,2025-06-16,2025-06-30,vitali87,User,London,GB,,MIT,https://github.com/vitali87/code-graph-rag,https://github.com/vitali87/code-graph-rag.git,2025-06-30T15:46:02.626559
1001457531,github,CVE-2025-33073,mverschu/CVE-2025-33073,PoC Exploit for the NTLM reflection SMB flaw.,Python,398,80,398,1,2025-06-13,2025-06-30,mverschu,User,Netherlands,NL,,,https://github.com/mverschu/CVE-2025-33073,https://github.com/mverschu/CVE-2025-33073.git,2025-06-30T15:46:09.446060
1004513211,github,snap-ql,NickTikhonov/snap-ql,AI-powered Postgres Client,TypeScript,374,20,374,12,2025-06-18,2025-06-30,NickTikhonov,User,"London, United Kingdom",GB,,MIT,https://github.com/NickTikhonov/snap-ql,https://github.com/NickTikhonov/snap-ql.git,2025-06-30T15:46:12.591325
1003205027,github,delayed-streams-modeling,kyutai-labs/delayed-streams-modeling,"Delayed Streams Modeling (DSM) is a flexible formulation for streaming, multimodal sequence-to-sequence learning.",Python,363,29,363,6,2025-06-16,2025-06-30,kyutai-labs,Organization,France,FR,,Apache-2.0,https://github.com/kyutai-labs/delayed-streams-modeling,https://github.com/kyutai-labs/delayed-streams-modeling.git,2025-06-30T15:46:13.757730
